# Rime user dictionary
#@/db_name	luna_pinyin.userdb.kct
#@/db_type	userdb
#@/rime_version	1.1.2
#@/tick	6213
#@/user_id	88a4665f-cb8c-4a39-a4d3-76505fd31b15
a 	啊	c=2 d=0.00311829 t=6213
chuang jian 	創建	c=1 d=0.28939 t=6213
chuang jian guang gao 	創建廣告	c=1 d=0.0608101 t=6213
chuang kou 	窗口	c=5 d=1.4878 t=6213
chuang yi 	創意	c=6 d=4.55752 t=6106
chuang yi lei xing 	創意類型	c=2 d=1.99501 t=5294
ci 	次	c=2 d=0.67032 t=6213
ci de 	次的	c=1 d=0.00114769 t=6213
ci ku 	詞庫	c=8 d=0.090576 t=6213
ci pan 	磁盤	c=1 d=1 t=5514
ci pin 	詞頻	c=1 d=0.000800719 t=6213
ci shu 	次數	c=3 d=0.00107192 t=6213
ci wen ti 	此問題	c=2 d=1.33397 t=6213
ci xu 	次序	c=0 d=1.46707e-010 t=6213
cong 	從	c=7 d=0.256193 t=6213
cong kai shi 	從開始	c=1 d=9.90893e-011 t=6213
cui 	催	c=0 d=1.87889e-009 t=6213
cui ta men 	催他們	c=1 d=1.88831e-008 t=6213
cun zai 	存在	c=3 d=0.072735 t=6213
cuo 	錯	c=1 d=0.0221482 t=6213
cuo le 	錯了	c=1 d=1.82041e-010 t=6213
cuo wu 	錯誤	c=5 d=0.00971397 t=6213
da 	大	c=2 d=0.00509243 t=6213
da 	打	c=0 d=3.5997e-011 t=6213
da bao 	大包	c=1 d=1 t=5191
da bu fen 	大部分	c=1 d=1.7042e-007 t=6213
da de 	大的	c=2 d=0.00122611 t=6213
da dian 	打點	c=0 d=3.28988e-011 t=6213
da dian ri zhi 	打點日誌	c=1 d=3.30637e-010 t=6213
da duo shu 	大多數	c=1 d=0.000391706 t=6213
da kai 	打開	c=9 d=1.64052 t=6213
da kai le 	打開了	c=1 d=0.185444 t=6213
da kai wen jian 	打開文件	c=1 d=1 t=5483
da kai wen jian shu 	打開文件數	c=1 d=1 t=4805
da ri zhi 	打日誌	c=1 d=3.61775e-010 t=6213
da xiao 	大小	c=0 d=0.000238156 t=6213
da xie 	大寫	c=1 d=0.00082099 t=6213
da yi xie 	大一些	c=1 d=1 t=4980
da yin 	打印	c=2 d=1.01807 t=6213
da yu 	大於	c=9 d=0.993998 t=6213
da zhi 	大致	c=1 d=1.9999e-007 t=6213
da zhuang 	打樁	c=1 d=8.03065e-009 t=6213
dai biao 	代表	c=3 d=0.357007 t=6213
dai de 	帶的	c=1 d=1 t=5218
dai li 	代理	c=1 d=0.126186 t=6213
dai ma 	代碼	c=6 d=0.353973 t=6213
dai you 	帶有	c=1 d=4.66697e-006 t=6213
dan 	但	c=8 d=0.0617355 t=6213
dan du 	單獨	c=1 d=0.00129273 t=6213
dan du biao shi 	單獨標識	c=1 d=1 t=4835
dan du chu li 	單獨處理	c=1 d=1 t=5328
dan du she zhi 	單獨設置	c=1 d=7.01532e-007 t=6213
dan shi 	但是	c=9 d=0.0871196 t=6213
dan xin 	擔心	c=0 d=1.60054e-005 t=6213
dan yin wei 	但因为	c=1 d=0.000645813 t=6213
dang 	當	c=1 d=0.00231131 t=6213
dang chu 	當初	c=2 d=0.0156858 t=6213
dang chu cai yong 	當初採用	c=1 d=7.06993e-010 t=6213
dang qian 	當前	c=10 d=1.82652 t=6213
dang qian shi yong 	當前使用	c=1 d=0.000459671 t=6213
dang ran 	當然	c=2 d=0.00961126 t=6213
dang shi 	當時	c=1 d=0.0593098 t=6213
dang zhong 	當中	c=1 d=2.17732e-007 t=6213
dang zuo 	當作	c=1 d=2.3939e-005 t=6213
dang zuo bi 	當作弊	c=1 d=0.00155699 t=6213
dao 	到	c=9 d=0.0198513 t=6213
dao chu 	導出	c=1 d=0.000194515 t=6213
dao da 	到達	c=2 d=1.75675e-005 t=6213
dao da lv 	到達率	c=1 d=2.71357e-009 t=6213
dao de 	道德	c=0 d=0.1 t=6135
dao di 	到底	c=1 d=2.83114e-008 t=6213
dao hang 	導航	c=1 d=1 t=4924
dao le 	到了	c=0 d=3.95844e-011 t=6213
dao na 	到哪	c=0 d=1.32358e-005 t=6213
dao na li 	到哪裏	c=1 d=0.000133021 t=6213
dao ni men 	到你們	c=1 d=0.0675424 t=6213
dao ru 	導入	c=1 d=1.00837 t=5844
dao ru biao ge 	導入表格	c=1 d=1 t=5349
dao shi hou 	到時候	c=1 d=0.0120946 t=6213
dao wo men 	到我們	c=1 d=5.62896e-005 t=6213
dao xian zai 	到現在	c=2 d=0.00013776 t=6213
dao zhi 	導致	c=8 d=0.0284268 t=6213
dao zu 	道祖	c=0 d=0.1 t=5402
de 	的	c=443 d=13.8288 t=6213
de hua 	的話	c=0 d=0.1 t=6174
de kuai 	得快	c=0 d=0.000249118 t=6213
de shi 	的事	c=1 d=2.60044e-008 t=6213
de shu ju 	的數據	c=1 d=0.00166156 t=6213
deng 	等	c=10 d=0.249565 t=6213
deng dai 	等待	c=2 d=1.73438 t=6213
deng jia 	等價	c=1 d=1 t=5464
deng li zhi 	等離職	c=1 d=0.0137049 t=6213
deng ni mai 	等你賣	c=1 d=0.0152985 t=6213
deng yu 	等於	c=1 d=0.0113334 t=6213
di 	低	c=1 d=9.56811e-011 t=6213
di er ge 	第二個	c=1 d=0.484325 t=6213
di fang 	地方	c=2 d=0.000601725 t=6213
di qu 	地區	c=6 d=8.0148e-007 t=6213
di san fang 	第三方	c=3 d=2.36197e-005 t=6213
di san fang bao guang 	第三方曝光	c=1 d=1.86051e-010 t=6213
di san tiao 	第三條	c=1 d=6.98151e-009 t=6213
di shi ni 	迪士尼	c=20 d=7.50924e-005 t=6213
di shi ni wen ti 	迪士尼問題	c=1 d=6.45923e-006 t=6213
di yi 	第一	c=1 d=0.00191125 t=6213
di yi ge 	第一個	c=2 d=0.477114 t=6213
di yu 	地域	c=9 d=1.29093e-005 t=6213
di zhi 	地址	c=6 d=0.00983852 t=6213
di zhi shi 	地址是	c=1 d=8.56998e-009 t=6213
dian 	點	c=16 d=0.0639949 t=6213
dian ji 	點擊	c=84 d=3.90979 t=6213
dian ji jian kong 	點擊監控	c=1 d=1.25924e-006 t=6213
dian ji liang 	点击量	c=2 d=1.0602 t=6208
dian ji shu 	點擊數	c=10 d=0.427518 t=6213
dian ji zong shu 	點擊總數	c=1 d=3.53575e-005 t=6213
dian le 	點了	c=0 d=0.00148038 t=6213
dian le ya 	點了呀	c=1 d=0.0114473 t=6213
dian neng zou ma 	點能走嗎	c=1 d=0.102797 t=6213
dian pu 	店鋪	c=0 d=0.00112206 t=6213
dian pu you hui quan 	店鋪優惠券	c=2 d=0.0228393 t=6213
dian shu ju 	點數據	c=2 d=8.15454e-005 t=6213
dian ying 	電影	c=2 d=0.00154924 t=6213
dian zan 	點讚	c=1 d=0.000788798 t=6213
diao yong 	調用	c=4 d=1.09257 t=6213
diao yong zhan 	調用棧	c=1 d=1 t=6213
ding ding 	釘釘	c=2 d=0.000186 t=6213
ding ji yu ming 	頂級域名	c=2 d=7.70479e-006 t=6213
ding ji yu ming shi bie 	頂級域名識別	c=1 d=3.74533e-006 t=6213
ding shi 	定時	c=2 d=1.01 t=5916
ding xiang 	定向	c=0 d=0.00102997 t=6213
ding yi 	定義	c=15 d=2.72396 t=6213
diu de 	丟的	c=1 d=1.29424e-005 t=6213
diu diao 	丟掉	c=1 d=1.07565e-005 t=6213
diu le 	丟了	c=1 d=1.05435e-005 t=6213
diu shi 	丟失	c=0 d=7.43838e-011 t=6213
diu shi can shu 	丟失參數	c=1 d=3.67242e-010 t=6213
diu shi wen ti 	丟失問題	c=1 d=3.80323e-010 t=6213
dong 	動	c=0 d=0.1 t=6034
dong tai 	動態	c=2 d=0.136554 t=5927
dong tai huo qu 	動態獲取	c=1 d=1 t=5928
dou 	都	c=4 d=0.179161 t=6213
dou bu yi yang 	都不一樣	c=1 d=1.87436e-009 t=6213
dou bu zai 	都不在	c=1 d=1.34381e-006 t=6213
dou gua le 	都掛了	c=1 d=0.00392653 t=6213
dou hen 	都很	c=0 d=0.000116504 t=6213
dou hen da 	都很大	c=2 d=3.62137e-006 t=6213
dou hen xiao 	都很小	c=1 d=0.00117088 t=6213
dou jiang le 	都降了	c=1 d=3.05954e-009 t=6213
dou mei you 	都沒有	c=4 d=0.000496082 t=6213
dou neng 	都能	c=0 d=0.1 t=5359
dou neng qu fen 	都能區分	c=1 d=1 t=5360
dou neng yong 	都能用	c=1 d=0.000128446 t=6213
dou shi 	都是	c=18 d=0.690723 t=6213
dou shi chang yong 	都是常用	c=1 d=0.0356146 t=6213
dou tong guo 	都通過	c=1 d=0.0327124 t=6213
dou xie 	都寫	c=1 d=1 t=5426
dou xu yao 	都需要	c=1 d=0.960789 t=6213
dou yi yang 	都一樣	c=1 d=6.54215e-009 t=6213
dou you 	都有	c=0 d=1.31765e-011 t=6213
dou zhan 	都佔	c=1 d=0.00240549 t=6213
dou zhi chi 	都支持	c=1 d=0.000287295 t=6213
dou zhun bei hao le 	都準備好了	c=1 d=8.87373e-007 t=6213
du qu 	讀取	c=3 d=0.0252235 t=6213
du qu cuo wu 	讀取錯誤	c=2 d=1.18261e-006 t=6213
duan 	端	c=0 d=0.133287 t=5290
duan kai 	斷開	c=0 d=0.1 t=4806
duan xin 	短信	c=2 d=0.0010211 t=6213
dui 	對	c=1 d=0.16553 t=6213
dui bi 	對比	c=1 d=5.9847e-006 t=6213
dui bi xia 	對比下	c=3 d=0.00142341 t=6213
dui de 	對的	c=3 d=0.00321191 t=6213
dui jie 	對接	c=0 d=0.1 t=5457
dui le 	對了	c=3 d=0.0232056 t=6213
dui le na xie 	對了那些	c=1 d=1.10841e-005 t=6213
dui ma 	對嗎	c=1 d=0.0473589 t=6213
dui qi 	對齊	c=0 d=0.174453 t=6048
dui qi ding yi 	對齊定義	c=1 d=1 t=6049
dui shu ju 	對數據	c=1 d=0.00232276 t=6213
dui wai 	對外	c=0 d=1.77774e-005 t=6213
dui wai yi yang 	對外一樣	c=1 d=0.000178665 t=6213
dui ya 	對呀	c=0 d=1.5931e-009 t=6213
dui ying 	對應	c=20 d=3.34767 t=6213
dui ying biao ge 	對應表格	c=2 d=5.50901e-005 t=6213
dui ying gan xi 	對應乾洗	c=1 d=0.000204488 t=6213
dui ying liu liang 	對應流量	c=1 d=0.26982 t=6213
dui yu 	對於	c=4 d=0.00231968 t=6213
duo 	多	c=1 d=0.024234 t=6213
duo ci 	多次	c=5 d=1.90449 t=6213
duo ci dian ji 	多次點擊	c=1 d=1 t=6183
